SUBURB,POSTCODE
ALTANDI,4109
BANOON,4109
MACGREGOR,4109
ROBERTSON,4109
SUNNYBANK,4109
SUNNYBANK HILLS,4109
SUNNYBANK SOUTH,4109
ACACIA RIDGE,4110
ACACIA RIDGE BC,4110
ACACIA RIDGE DC,4110
HEATHWOOD,4110
HEATHWOOD DF,4110
LARAPINTA,4110
PALLARA,4110
WILLAWONG,4110
GRIFFITH UNIVERSITY,4111
NATHAN,4111
KURABY,4112
EIGHT MILE PLAINS,4113
FRUITGROVE,4113
RUNCORN,4113
KINGSTON,4114
LOGAN CENTRAL,4114
LOGAN CITY BC,4114
LOGAN CITY DC,4114
TRINDER PARK,4114
WOODRIDGE,4114
WOODRIDGE EAST,4114
ALGESTER,4115
PARKINSON,4115
CALAMVALE,4116
DREWVALE,4116
STRETTON,4116
BERRINBA,4117
KARAWATHA,4117
BROWNS PLAINS,4118
BROWNS PLAINS BC,4118
BROWNSLEIGH,4118
FORESTDALE,4118
HERITAGE PARK,4118
HILLCREST,4118
REGENTS PARK,4118
UNDERWOOD,4119
GREENSLOPES,4120
LORETO HILL,4120
STONES CORNER,4120
EKIBIN,4121
HOLLAND PARK,4121
HOLLAND PARK EAST,4121
HOLLAND PARK WEST,4121
MOUNT THOMPSON,4121
TARRAGINDI,4121
WELLERS HILL,4121
MANSFIELD,4122
MANSFIELD BC,4122
MANSFIELD DC,4122
MOUNT GRAVATT,4122
MOUNT GRAVATT EAST,4122
UPPER MOUNT GRAVATT,4122
UPPER MOUNT GRAVATT BC,4122
WISHART,4122
PRIESTS GULLY,4123
ROCHEDALE,4123
ROCHEDALE SOUTH,4123
BORONIA HEIGHTS,4124
GREENBANK,4124
LYONS,4124
NEW BEITH,4124
SILVERBARK RIDGE,4124
MUNRUBEN,4125
PARK RIDGE,4125
PARK RIDGE SOUTH,4125
CHATSWOOD HILLS,4127
DAISY HILL,4127
PRIESTDALE,4127
SLACKS CREEK,4127
SPRINGWOOD,4127
SPRINGWOOD BC,4127
KIMBERLEY PARK,4128
LOGAN HYPERDOME BC,4128
SHAILER PARK,4128
TANAH MERAH,4128
LOGANDALE,4129
LOGANHOLME,4129
LOGANHOLME BC,4129
LOGANHOLME DC,4129
CARBROOK,4130
CORNUBIA,4130
LOGANLEA,4131
MEADOWBROOK,4131
CRESTMEAD,4132
CRESTMEAD DC,4132
MARSDEN,4132
MARSDEN POSTAL DEPOT,4132
CHAMBERS FLAT,4133
LOGAN RESERVE,4133
WATERFORD,4133
WATERFORD WEST,4133
COORPAROO,4151
COORPAROO BC,4151
COORPAROO DC,4151
CAMP HILL,4152
CARINA,4152
CARINA HEIGHTS,4152
CARINA NORTH,4152
CARINDALE,4152
WHITES HILL,4152
BELMONT,4153
BELMONT HEIGHTS,4153
GUMDALE,4154
RANSOME,4154
WAKERLEY,4154
CHANDLER,4155
BURBANK,4156
MACKENZIE,4156
CAPALABA,4157
CAPALABA BC,4157
CAPALABA DC,4157
CAPALABA WEST,4157
SHELDON,4157
THORNESIDE,4158
BIRKDALE,4159
EROBIN,4160
ORMISTON,4160
WELLINGTON POINT,4160
ALEXANDRA HILLS,4161
CLEVELAND,4163
CLEVELAND DC,4163
PINKLANDS,4164
THORNLANDS,4164
MOUNT COTTON,4165
POINT HALLORAN,4165
POINT TALBURPIN,4165
REDLAND BAY,4165
VICTORIA POINT,4165
VICTORIA POINT WEST,4165
EAST BRISBANE,4169
KANGAROO POINT,4169
STANLEY BRIDGE,4169
CANNON HILL,4170
COLMSLIE,4170
MORNINGSIDE,4170
NORMAN PARK,4170
SEVEN HILLS,4170
BALMORAL,4171
BULIMBA,4171
GALLOWAYS HILL,4171
HAWTHORNE,4171
MURARRIE,4172
TINGALPA,4173
TINGALPA BC,4173
TINGALPA DC,4173
DOBOY,4174
HEMMANT,4174
LINDUM,4178
LYTTON,4178
PORT OF BRISBANE,4178
WYNNUM,4178
WYNNUM CENTRAL,4178
WYNNUM NORTH,4178
WYNNUM PLAZA,4178
WYNNUM WEST,4178
LOTA,4179
MANLY,4179
MANLY WEST,4179
AMITY,4183
AMITY POINT,4183
DUNWICH,4183
NORTH STRADBROKE ISLAND,4183
POINT LOOKOUT,4183
COOCHIEMUDLO ISLAND,4184
KARRAGARRA ISLAND,4184
LAMB ISLAND,4184
MACLEAY ISLAND,4184
PEEL ISLAND,4184
PERULPA ISLAND,4184
RUSSELL ISLAND,4184
BETHANIA,4205
ALBERTON,4207
BAHRS SCRUB,4207
BANNOCKBURN,4207
BEENLEIGH,4207
BELIVAH,4207
BUCCAN,4207
CABBAGE TREE POINT,4207
CEDAR CREEK,4207
EAGLEBY,4207
EDENS LANDING,4207
HOLMVIEW,4207
KAIRABAH,4207
LOGAN VILLAGE,4207
LUSCOMBE,4207
MOUNT WARREN PARK,4207
STAPYLTON,4207
STEIGLITZ,4207
WINDAROO,4207
WOLFFDENE,4207
WOONGOOLBA,4207
YARRABILBA,4207
YATALA,4207
YATALA DC,4207
YELLOW WOOD,4207
BURNSIDE,4208
GILBERTON,4208
HALFWAY CREEK,4208
JACOBS WELL,4208
KINGSHOLME,4208
NORWELL,4208
ORMEAU,4208
ORMEAU HILLS,4208
CANOWINDRA,4209
COOMERA,4209
PIMPAMA,4209
UPPER COOMERA,4209
WILLOW VALE,4209
GUANABA,4210
MAUDSLAND,4210
OXENFORD,4210
STUDIO VILLAGE,4210
WONGAWALLAN,4210
ADVANCETOWN,4211
BEECHMONT,4211
BINNA BURRA,4211
CARRARA,4211
CLAGIRABA,4211
GAVEN,4211
GILSTON,4211
HIGHLAND PARK,4211
LATIMER,4211
LOWER BEECHMONT,4211
MOUNT NATHAN,4211
NATURAL BRIDGE,4211
NERANG,4211
NERANG BC,4211
NERANG DC,4211
NUMINBAH VALLEY,4211
PACIFIC PINES,4211
PINDARI HILLS,4211
SOUTHERN LAMINGTON,4211
BOYKAMBIL,4212
HELENSVALE,4212
HELENSVALE TOWN CENTRE,4212
HOPE ISLAND,4212
MONTEREY KEYS,4212
SANCTUARY COVE,4212
SANTA BARBARA,4212
AUSTINVILLE,4213
BONOGIN,4213
MUDGEERABA,4213
NERANWOOD,4213
SPRINGBROOK,4213
TALLAI,4213
WORONGARY,4213
ARUNDEL,4214
ARUNDEL BC,4214
ARUNDEL DC,4214
ASHMORE,4214
ASHMORE CITY,4214
MOLENDINAR,4214
PARKWOOD,4214
AUSTRALIA FAIR,4215
CHIRN PARK,4215
KEEBRA PARK,4215
LABRADOR,4215
SOUTHPORT,4215
SOUTHPORT BC,4215
SOUTHPORT PARK,4215
SUNDALE,4215
ANGLERS PARADISE,4216
BIGGERA WATERS,4216
COOMBABAH,4216
CURRIGEE,4216
HOLLYWELL,4216
PARADISE POINT,4216
PARADISE POINT KEYS,4216
RUNAWAY BAY,4216
SOUTH STRADBROKE,4216
SOVEREIGN ISLANDS,4216
BENOWA,4217
BUNDALL,4217
BUNDALL BC,4217
BUNDALL DC,4217
CHEVRON ISLAND,4217
GOLD COAST MC,4217
ISLE OF CAPRI,4217
MAIN BEACH,4217
PARADISE ISLAND,4217
PARADISE WATERS,4217
SORRENTO,4217
SURFERS PARADISE,4217
THE SPIT,4217
BROADBEACH,4218
BROADBEACH WATERS,4218
CYPRESS GARDENS,4218
FLORIDA GARDENS,4218
MERMAID BEACH,4218
MERMAID KEYS,4218
MERMAID WATERS,4218
MIAMI KEYS,4218
MOANA PARK,4218
NOBBY BEACH,4218
PACIFIC FAIR,4218
Q SUPERCENTRE,4218
RIALTO,4218
RIO VISTA,4218
WEST BURLEIGH,4219
BURLEIGH BC,4220
BURLEIGH DC,4220
BURLEIGH HEADS,4220
BURLEIGH TOWN,4220
BURLEIGH WATERS,4220
MIAMI,4220
TALLY VALLEY,4220
ELANORA,4221
PALM BEACH,4221
GRIFFITH UNIVERSITY,4222
CURRUMBIN,4223
CURRUMBIN DC,4223
CURRUMBIN VALLEY,4223
CURRUMBIN WATERS,4223
TUGUN,4224
TUGUN HEIGHTS,4224
BILINGA,4225
COOLANGATTA,4225
GREENMOUNT,4225
GREENMOUNT,4225
KIRRA,4225
RAINBOW BAY,4225
CLEAR ISLAND WATERS,4226
KERRYDALE,4226
MERRIMAC,4226
ROBINA,4226
ROBINA DC,4226
REEDY CREEK,4227
VARSITY LAKES,4227
INGLESIDE,4228
TALLEBUDGERA,4228
TALLEBUDGERA VALLEY,4228
BOND UNIVERSITY,4229
ROBINA TOWN CENTRE,4230
TAMBORINE,4270
TAMBORINE VILLAGE,4270
EAGLE HEIGHTS,4271
MOUNT TAMBORINE,4272
NORTH TAMBORINE,4272
TAMBORINE MOUNTAIN,4272
BENOBBLE,4275
BIDDADDABA,4275
BLOOMFLEET,4275
BOYLAND,4275
CANUNGRA,4275
FERNY GLEN,4275
